"mig_exp_revcod","emp","mig_visas","democrat","republican","white","black","hispanic","unemp_cpm","edu","female","inc","age"
5,0,3,0,0,1,0,0,0,5,0,2,49
7,1,1,0,1,1,0,0,1,2,1,3,46
6,0,2,1,0,1,0,0,0,4,0,3,65
7,1,1,0,0,1,0,0,0,6,0,1,56
4,1,5,0,1,1,0,0,0,5,0,12,43
6,1,2,0,0,1,0,0,0,2,0,5,43
6,0,3,1,0,1,0,0,0,5,1,6,63
4,0,4,0,1,1,0,0,0,4,0,10,20
7,1,2,1,0,0,0,0,0,3,1,4,26
4,0,3,0,1,1,0,0,0,3,0,11,68
6,0,4,0,1,0,0,0,0,6,1,8,68
5,1,3,0,1,1,0,0,0,4,0,7,59
5,0,2,0,0,1,0,0,0,2,0,1,26
4,0,2,0,0,1,0,0,0,3,0,1,56
4,1,3,0,1,1,0,0,1,2,1,6,54
5,0,2,1,0,1,0,0,0,5,1,7,69
7,1,2,1,0,1,0,0,0,5,1,8,41
1,1,5,0,1,1,0,0,0,2,0,6,45
7,1,1,1,0,1,0,0,0,6,1,6,36
7,0,2,1,0,1,0,0,0,6,0,7,63
5,1,4,0,0,0,0,0,0,3,0,4,27
4,1,4,0,1,1,0,0,0,6,0,7,25
3,1,4,1,0,1,0,0,0,2,1,5,58
5,1,4,1,0,0,0,0,0,5,0,10,31
6,0,2,1,0,1,0,0,0,5,1,6,27
4,0,5,0,0,1,0,0,0,2,1,1,61
1,0,5,0,1,1,0,0,0,3,1,10,37
5,1,3,1,0,0,0,1,0,3,1,3,43
6,1,3,1,0,1,0,0,0,5,1,3,22
5,0,2,1,0,1,0,0,1,1,1,5,25
6,0,5,0,0,1,0,0,0,2,1,4,56
4,0,3,1,0,0,0,0,0,5,1,6,48
1,1,5,0,1,1,0,0,0,6,0,13,40
6,0,2,0,1,1,0,0,0,4,1,2,64
7,0,1,1,0,0,0,0,0,5,0,4,28
6,1,4,0,0,1,0,0,0,4,0,9,39
7,1,1,1,0,1,0,0,0,3,1,2,27
4,1,2,0,1,0,0,0,0,5,0,11,43
4,0,5,0,0,1,0,0,0,2,1,3,35
3,0,3,0,0,1,0,0,0,4,0,7,42
4,1,3,0,0,1,0,0,0,2,1,2,35
4,1,4,0,0,1,0,0,0,5,1,5,44
4,0,3,1,0,1,0,0,0,2,1,2,38
6,1,3,1,0,1,0,0,0,5,0,11,66
7,0,2,1,0,1,0,0,0,3,0,2,35
6,1,2,1,0,0,1,0,0,2,1,3,23
5,1,5,0,1,1,0,0,0,3,0,3,26
3,1,3,1,0,0,0,0,0,6,1,13,51
4,1,3,1,0,1,0,0,0,5,1,9,38
4,0,5,0,0,1,0,0,1,2,1,4,29
6,0,1,0,0,0,0,0,0,3,0,4,36
6,1,1,1,0,1,0,0,0,4,1,3,20
2,0,5,0,1,1,0,0,0,6,1,13,77
7,0,1,0,0,1,0,0,0,4,1,3,72
4,1,4,0,1,1,0,0,0,2,0,5,34
2,0,5,1,0,1,0,0,0,3,1,1,28
6,1,2,0,0,0,1,0,0,2,1,1,27
7,1,1,0,1,0,0,0,0,5,0,13,40
1,1,2,1,0,1,0,0,0,6,0,11,38
4,1,4,0,1,1,0,0,0,2,1,5,70
2,1,5,0,1,1,0,0,0,6,1,9,34
4,1,5,0,1,1,0,0,0,2,0,5,46
4,0,3,0,0,1,0,0,0,3,1,11,55
5,1,4,0,1,1,0,0,0,2,1,4,41
