"id","female","age","demcand","educ","ftobama","liberal","candideol","candgen"
1,0,56,1,5,100,3,53,1
2,1,59,1,6,39,4,53,1
4,0,36,1,5,89,4,53,1
6,0,58,2,6,0,2,25,0
7,0,38,3,3,73,5,63,0
8,0,65,2,2,0,1,25,0
10,0,80,3,6,87,4,63,0
13,0,80,3,2,70,3,63,0
17,0,35,1,6,66,3,53,1
18,1,71,3,2,100,3,63,0
20,1,58,1,6,96,4,53,1
21,1,66,1,2,99,4,53,1
22,0,61,3,6,12,1,63,0
23,0,62,3,3,75,5,63,0
24,1,71,3,3,91,4,63,0
25,0,38,3,5,66,5,63,0
26,0,35,1,5,39,3,53,1
28,1,72,3,3,70,4,63,0
29,1,61,3,3,80,4,63,0
30,1,65,1,5,100,4,53,1
31,1,22,1,1,100,1,53,1
32,0,66,3,6,63,5,63,0
35,0,49,1,6,69,3,53,1
36,0,71,3,6,82,5,63,0
37,1,68,1,2,76,5,53,1
38,0,40,3,3,80,3,63,0
40,1,59,2,3,0,3,25,0
41,0,63,1,5,79,2,53,1
42,1,43,1,2,81,5,53,1
44,0,60,1,2,95,3,53,1
45,0,67,1,6,80,4,53,1
46,0,54,3,6,0,3,63,0
47,1,64,1,2,13,2,53,1
48,0,44,3,2,41,3,63,0
49,1,56,3,6,100,4,63,0
51,1,40,1,5,62,5,53,1
52,0,39,3,3,95,3,63,0
54,1,33,1,5,80,5,53,1
56,0,38,3,6,72,3,63,0
57,0,42,2,4,0,1,25,0
58,1,43,1,3,97,3,53,1
59,0,46,3,1,10,3,63,0
60,0,39,2,5,57,3,25,0
62,1,27,2,5,84,2,25,0
63,1,56,3,5,95,4,63,0
65,0,47,3,5,100,5,63,0
66,0,32,2,3,73,3,25,0
67,0,58,3,6,24,4,63,0
68,0,80,3,3,100,5,63,0
72,0,57,1,5,100,5,53,1
73,0,60,3,5,74,5,63,0
75,1,78,1,2,53,3,53,1
77,1,80,1,2,99,4,53,1
80,0,55,3,6,5,3,63,0
81,1,69,3,3,3,3,63,0
83,1,64,1,3,100,3,53,1
84,1,52,1,4,66,4,53,1
85,0,62,3,2,55,3,63,0
87,0,53,3,2,70,4,63,0
