ccode	year	GTDDomestic	Durable	GINI	logGNI	logpop	logarea	AggSF	ColdWar	ucdp_type2	ucdp_type3	chga_dem	geddes1	geddes3	geddes4	geddes5	FGTDDom
2	1970	49	161	34.1	8.516061	5.323254	16.03057	0	1	3	0	1	0	0	0	0	90
2	1971	90	162	34.3	8.583423	5.335902	16.03057	0	1	3	0	1	0	0	0	0	16
2	1972	16	163	34.5	8.671758	5.346631	16.03057	0	1	3	0	1	0	0	0	0	33
2	1973	33	164	34.4	8.776861	5.356162	16.03057	0	1	3	0	1	0	0	0	0	24
2	1974	24	165	34.2	8.84973	5.365275	16.03057	0	1	3	0	1	0	0	0	0	94
2	1975	94	166	34.4	8.922352	5.37514	16.03057	0	1	3	0	1	0	0	0	0	38
2	1976	38	167	34.4	9.019474	5.384678	16.03057	0	1	0	0	1	0	0	0	0	94
2	1977	94	168	35	9.120075	5.394718	16.03057	0	1	0	0	1	0	0	0	0	20
2	1978	20	169	35	9.230818	5.405332	16.03057	0	1	0	0	1	0	0	0	0	16
2	1979	16	170	35.1	9.327542	5.416367	16.03057	0	1	0	0	1	0	0	0	0	9
2	1980	9	171	35.2	9.403175	5.428161	16.03057	0	1	0	0	1	0	0	0	0	12
2	1981	12	172	35.6	9.511365	5.437949	16.03057	0	1	0	0	1	0	0	0	0	25
2	1982	25	173	36.5	9.551438	5.447556	16.03057	0	1	0	0	1	0	0	0	0	10
2	1983	10	174	36.7	9.611698	5.456645	16.03057	0	1	1	0	1	0	0	0	0	32
2	1984	32	175	36.9	9.717392	5.465314	16.03057	0	1	0	0	1	0	0	0	0	21
2	1985	21	176	37.3	9.775748	5.474244	16.03057	0	1	0	0	1	0	0	0	0	15
2	1986	15	177	37.6	9.813427	5.483344	16.03057	0	1	0	0	1	0	0	0	0	13
2	1987	13	178	37.6	9.870459	5.492238	16.03057	0	1	0	0	1	0	0	0	0	6
2	1988	6	179	37.8	9.944797	5.50134	16.03057	0	1	0	0	1	0	0	0	0	17
2	1989	17	180	38.2	9.996347	5.510764	16.03057	0	1	1	0	1	0	0	0	0	14
2	1990	14	181	37.8	10.0385	5.521981	16.03057	0	1	0	0	1	0	0	0	0	10
2	1991	10	182	37.9	10.05593	5.535325	16.03057	0	0	3	0	1	0	0	0	0	46
